"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"11202",190.29118,22.637371,-69.27239,-72.33065,106.4642755,-70.80152,512.7289379,0.07069626451,"Radar_Images/tiff/s_0274xx/s_02744301_tiff.lbl","Radar_Images/tiff/s_0274xx/s_02744301_tiff.tif","Radar_Images/geom/s_0274xx/s_02744301_geom.tab","decreasing","decreasing",4887,"good"
"5632",9.6340723,202.45345,69.8993,72.991948,286.0437612,71.445624,517.0308172,0.205110997,"Radar_Images/tiff/s_0125xx/s_01254201_tiff.lbl","Radar_Images/tiff/s_0125xx/s_01254201_tiff.tif","Radar_Images/geom/s_0125xx/s_01254201_geom.tab","decreasing","increasing",4720,"good"
"8437",347.82031,180.54543,69.854523,73.033073,264.18287,71.443798,531.6915698,0.1024111956,"Radar_Images/tiff/s_0226xx/s_02268301_tiff.lbl","Radar_Images/tiff/s_0226xx/s_02268301_tiff.tif","Radar_Images/geom/s_0226xx/s_02268301_geom.tab","decreasing","increasing",4721,"good"
"3256",94.849042,85.371212,-24.71509,-69.64858,90.110127,-47.181835,425.8719795,0.3841874599,"Radar_Images/tiff/s_0071xx/s_00711401_tiff.lbl","Radar_Images/tiff/s_0071xx/s_00711401_tiff.tif","Radar_Images/geom/s_0071xx/s_00711401_geom.tab","decreasing","decreasing",5798,"good"
"10698",133.28586,326.22953,72.966606,69.951758,49.757695,-18.540818,29566.48996,-32768,"Radar_Images/tiff/s_0267xx/s_02673901_tiff.lbl","Radar_Images/tiff/s_0267xx/s_02673901_tiff.tif","Radar_Images/geom/s_0267xx/s_02673901_geom.tab","decreasing","increasing",4716,"good"
"10096",322.08716,311.53274,72.643845,27.235345,316.80995,49.939595,479.2603806,0.8000000119,"Radar_Images/tiff/s_0261xx/s_02615901_tiff.lbl","Radar_Images/tiff/s_0261xx/s_02615901_tiff.tif","Radar_Images/geom/s_0261xx/s_02615901_geom.tab","decreasing","decreasing",5859,"good"
"23179",238.87402,228.64014,-19.83759,-69.80852,233.75708,-44.823055,511.3965011,-32768,"Radar_Images/tiff/s_0596xx/s_05969601_tiff.lbl","Radar_Images/tiff/s_0596xx/s_05969601_tiff.tif","Radar_Images/geom/s_0596xx/s_05969601_geom.tab","decreasing","decreasing",6448,"good"
"14562",139.54151,338.01489,-71.83532,-78.02604,58.7782,-74.93068,999.966077,0.03128918633,"Radar_Images/tiff/s_0373xx/s_03737401_tiff.lbl","Radar_Images/tiff/s_0373xx/s_03737401_tiff.tif","Radar_Images/geom/s_0373xx/s_03737401_geom.tab","decreasing","decreasing",3810,"good"
"7176",123.93356,118.23721,9.814106,49.604158,121.085385,29.709132,226.6580627,-32768,"Radar_Images/tiff/s_0183xx/s_01832701_tiff.lbl","Radar_Images/tiff/s_0183xx/s_01832701_tiff.tif","Radar_Images/geom/s_0183xx/s_01832701_geom.tab","decreasing","increasing",5130,"good"
"12652",208.91104,47.300985,71.795731,77.946819,128.1060125,74.871275,994.07767,0.1474483162,"Radar_Images/tiff/s_0346xx/s_03464801_tiff.lbl","Radar_Images/tiff/s_0346xx/s_03464801_tiff.tif","Radar_Images/geom/s_0346xx/s_03464801_geom.tab","decreasing","increasing",3825,"good"
"10373",69.103111,65.255456,31.193581,1.4234941,67.1792835,16.30853755,114.5450237,-32768,"Radar_Images/tiff/s_0264xx/s_02645801_tiff.lbl","Radar_Images/tiff/s_0264xx/s_02645801_tiff.tif","Radar_Images/geom/s_0264xx/s_02645801_geom.tab","decreasing","decreasing",3840,"good"
"10190",202.31581,35.398071,69.95639,72.894389,118.8569405,71.4253895,490.4041503,0.1102531478,"Radar_Images/tiff/s_0262xx/s_02627501_tiff.lbl","Radar_Images/tiff/s_0262xx/s_02627501_tiff.tif","Radar_Images/geom/s_0262xx/s_02627501_geom.tab","decreasing","increasing",4724,"good"
"12149",255.56364,94.721889,71.898209,77.95405,175.1427645,74.9261295,974.0320702,0.223192215,"Radar_Images/tiff/s_0332xx/s_03320902_tiff.lbl","Radar_Images/tiff/s_0332xx/s_03320902_tiff.tif","Radar_Images/geom/s_0332xx/s_03320902_geom.tab","decreasing","increasing",3807,"good"
"11709",81.918968,278.34711,73.288643,74.393536,0.133039,73.8410895,180.7294009,0.1419942826,"Radar_Images/tiff/s_0320xx/s_03205501_tiff.lbl","Radar_Images/tiff/s_0320xx/s_03205501_tiff.tif","Radar_Images/geom/s_0320xx/s_03205501_geom.tab","decreasing","increasing",4094,"good"
"717",182.98255,8.171173,-62.55424,-59.50656,95.5768615,28.9696,30933.27872,-32768,"Radar_Images/tiff/s_0033xx/s_00331301_tiff.lbl","Radar_Images/tiff/s_0033xx/s_00331301_tiff.tif","Radar_Images/geom/s_0033xx/s_00331301_geom.tab","decreasing","decreasing",7411,"good"
"10165",310.99164,301.69432,-2.476148,-61.91446,306.34298,-32.195304,552.6170069,-32768,"Radar_Images/tiff/s_0262xx/s_02623901_tiff.lbl","Radar_Images/tiff/s_0262xx/s_02623901_tiff.tif","Radar_Images/geom/s_0262xx/s_02623901_geom.tab","decreasing","decreasing",7664,"good"
"9376",24.160072,225.01828,78.011925,75.213482,304.589176,-13.3872965,28200.17333,-32768,"Radar_Images/tiff/s_0252xx/s_02520001_tiff.lbl","Radar_Images/tiff/s_0252xx/s_02520001_tiff.tif","Radar_Images/geom/s_0252xx/s_02520001_geom.tab","decreasing","increasing",3371,"good"
"20137",328.52274,324.76131,29.727819,0.0054981,326.642025,14.86665855,111.7984295,-32768,"Radar_Images/tiff/s_0508xx/s_05088301_tiff.lbl","Radar_Images/tiff/s_0508xx/s_05088301_tiff.tif","Radar_Images/geom/s_0508xx/s_05088301_geom.tab","decreasing","decreasing",3833,"good"
"12954",148.69377,346.94611,71.855392,77.924502,67.81994,74.889947,981.6643408,0.1109630167,"Radar_Images/tiff/s_0352xx/s_03520403_tiff.lbl","Radar_Images/tiff/s_0352xx/s_03520403_tiff.tif","Radar_Images/geom/s_0352xx/s_03520403_geom.tab","decreasing","increasing",3821,"good"
"23992",249.98343,246.08913,11.119693,-19.78176,248.03628,-4.3310335,120.3395284,-32768,"Radar_Images/tiff/s_0623xx/s_06232001_tiff.lbl","Radar_Images/tiff/s_0623xx/s_06232001_tiff.tif","Radar_Images/geom/s_0623xx/s_06232001_geom.tab","decreasing","decreasing",3987,"good"
"8133",259.15851,254.85747,14.755523,-19.8121,257.00799,-2.5282885,148.6767292,-32768,"Radar_Images/tiff/s_0217xx/s_02178401_tiff.lbl","Radar_Images/tiff/s_0217xx/s_02178401_tiff.tif","Radar_Images/geom/s_0217xx/s_02178401_geom.tab","decreasing","decreasing",4459,"good"
"16190",155.93254,358.46525,74.899323,80.052886,77.198895,77.4761045,811.5175995,0.09953240305,"Radar_Images/tiff/s_0407xx/s_04078201_tiff.lbl","Radar_Images/tiff/s_0407xx/s_04078201_tiff.tif","Radar_Images/geom/s_0407xx/s_04078201_geom.tab","decreasing","increasing",3147,"good"
