"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"13962",349.23966,187.27956,-71.9197,-77.92019,268.25961,-74.919945,971.8399604,0.058587164,"Radar_Images/tiff/s_0365xx/s_03656201_tiff.lbl","Radar_Images/tiff/s_0365xx/s_03656201_tiff.tif","Radar_Images/geom/s_0365xx/s_03656201_geom.tab","decreasing","decreasing",3815,"good"
"5139",339.68527,161.81252,-53.06274,-56.11363,250.748895,-54.588185,542.6701942,0.612783849,"Radar_Images/tiff/s_0100xx/s_01004501_tiff.lbl","Radar_Images/tiff/s_0100xx/s_01004501_tiff.tif","Radar_Images/geom/s_0100xx/s_01004501_geom.tab","decreasing","decreasing",9069,"good"
"7327",64.037117,257.47518,72.733177,70.07191,340.7561485,-18.5974565,29537.88287,0.090624154,"Radar_Images/tiff/s_0186xx/s_01863201_tiff.lbl","Radar_Images/tiff/s_0186xx/s_01863201_tiff.tif","Radar_Images/geom/s_0186xx/s_01863201_geom.tab","decreasing","increasing",4728,"good"
"14905",177.58182,160.29209,79.90464,29.74721,168.936955,54.825925,867.2084222,0.800000012,"Radar_Images/tiff/s_0378xx/s_03787401_tiff.lbl","Radar_Images/tiff/s_0378xx/s_03787401_tiff.tif","Radar_Images/geom/s_0378xx/s_03787401_geom.tab","decreasing","decreasing",6486,"good"
"16755",130.74426,332.40454,74.941727,79.885621,51.5744,77.413674,782.8147917,0.122309394,"Radar_Images/tiff/s_0436xx/s_04369702_tiff.lbl","Radar_Images/tiff/s_0436xx/s_04369702_tiff.tif","Radar_Images/geom/s_0436xx/s_04369702_geom.tab","decreasing","increasing",3167,"good"
"13190",193.68832,189.91821,0.00356,29.723798,191.803265,14.863679,112.0485665,-32768,"Radar_Images/tiff/s_0356xx/s_03563801_tiff.lbl","Radar_Images/tiff/s_0356xx/s_03563801_tiff.tif","Radar_Images/geom/s_0356xx/s_03563801_geom.tab","decreasing","increasing",3833,"good"
"21698",175.60469,163.94311,74.87056,29.735807,169.7739,52.3031835,526.3425329,0.410811901,"Radar_Images/tiff/s_0561xx/s_05619001_tiff.lbl","Radar_Images/tiff/s_0561xx/s_05619001_tiff.tif","Radar_Images/geom/s_0561xx/s_05619001_geom.tab","decreasing","decreasing",5826,"good"
"10719",107.54386,102.14325,50.742638,14.36275,104.843555,32.552694,196.4735869,-32768,"Radar_Images/tiff/s_0267xx/s_02676001_tiff.lbl","Radar_Images/tiff/s_0267xx/s_02676001_tiff.tif","Radar_Images/geom/s_0267xx/s_02676001_geom.tab","decreasing","decreasing",4691,"good"
"9283",191.98722,14.085885,-53.0731,-56.17216,103.0365525,-54.62263,551.3269112,0.323444039,"Radar_Images/tiff/s_0249xx/s_02496401_tiff.lbl","Radar_Images/tiff/s_0249xx/s_02496401_tiff.tif","Radar_Images/geom/s_0249xx/s_02496401_geom.tab","decreasing","decreasing",9060,"good"
"8206",253.71841,249.46228,14.988371,-19.23127,251.590345,-2.1214495,145.6432406,-32768,"Radar_Images/tiff/s_0219xx/s_02198201_tiff.lbl","Radar_Images/tiff/s_0219xx/s_02198201_tiff.tif","Radar_Images/geom/s_0219xx/s_02198201_geom.tab","decreasing","decreasing",4414,"good"
"1503",155.65437,138.33612,79.911766,29.833265,146.995245,54.8725155,867.2719999,0.664594829,"Radar_Images/tiff/s_0047xx/s_00479101_tiff.lbl","Radar_Images/tiff/s_0047xx/s_00479101_tiff.tif","Radar_Images/geom/s_0047xx/s_00479101_geom.tab","decreasing","decreasing",6476,"good"
"9838",191.78461,24.787301,72.932404,69.952452,108.2859555,-18.557572,29561.87166,0.112716816,"Radar_Images/tiff/s_0258xx/s_02582701_tiff.lbl","Radar_Images/tiff/s_0258xx/s_02582701_tiff.tif","Radar_Images/geom/s_0258xx/s_02582701_geom.tab","decreasing","increasing",4720,"good"
"14382",274.86551,270.33275,19.846685,49.730504,272.59913,34.7885945,135.4561794,-32768,"Radar_Images/tiff/s_0371xx/s_03712501_tiff.lbl","Radar_Images/tiff/s_0371xx/s_03712501_tiff.tif","Radar_Images/geom/s_0371xx/s_03712501_geom.tab","decreasing","increasing",3854,"good"
"13227",293.24321,284.09351,-0.016531,-59.70731,288.66836,-29.8619205,546.1527206,-32768,"Radar_Images/tiff/s_0356xx/s_03568101_tiff.lbl","Radar_Images/tiff/s_0356xx/s_03568101_tiff.tif","Radar_Images/geom/s_0356xx/s_03568101_geom.tab","decreasing","decreasing",7698,"good"
"14295",163.90926,160.16171,24.884113,49.508246,162.035485,37.1961795,92.28016962,-32768,"Radar_Images/tiff/s_0369xx/s_03698401_tiff.lbl","Radar_Images/tiff/s_0369xx/s_03698401_tiff.tif","Radar_Images/geom/s_0369xx/s_03698401_geom.tab","decreasing","increasing",3175,"good"
"12416",282.5173,121.39158,71.867798,78.005635,201.95444,74.9367165,988.9634059,0.096568227,"Radar_Images/tiff/s_0339xx/s_03398601_tiff.lbl","Radar_Images/tiff/s_0339xx/s_03398601_tiff.tif","Radar_Images/geom/s_0339xx/s_03398601_geom.tab","decreasing","increasing",3806,"good"
"1944",261.33914,86.568691,61.854214,59.279838,173.9539155,-29.432974,31008.75597,0.504793882,"Radar_Images/tiff/s_0056xx/s_00563702_tiff.lbl","Radar_Images/tiff/s_0056xx/s_00563702_tiff.tif","Radar_Images/geom/s_0056xx/s_00563702_geom.tab","decreasing","increasing",7526,"good"
"11748",199.16406,190.77558,-4.950253,-59.70039,194.96982,-32.3253215,459.2704292,-32768,"Radar_Images/tiff/s_0321xx/s_03217701_tiff.lbl","Radar_Images/tiff/s_0321xx/s_03217701_tiff.tif","Radar_Images/geom/s_0321xx/s_03217701_geom.tab","decreasing","decreasing",7059,"good"
"4723",213.43785,35.702034,-53.16578,-56.0547,124.569942,-54.61024,513.4645536,0.395332038,"Radar_Images/tiff/s_0089xx/s_00894201_tiff.lbl","Radar_Images/tiff/s_0089xx/s_00894201_tiff.tif","Radar_Images/geom/s_0089xx/s_00894201_geom.tab","decreasing","decreasing",9063,"good"
"13461",216.22705,55.086128,-71.90527,-78.05947,135.656589,-74.98237,991.6934622,0.038262852,"Radar_Images/tiff/s_0360xx/s_03601301_tiff.lbl","Radar_Images/tiff/s_0360xx/s_03601301_tiff.tif","Radar_Images/geom/s_0360xx/s_03601301_geom.tab","decreasing","decreasing",3795,"good"
"22259",271.57825,217.73299,-86.80649,-61.52856,244.65562,-74.167525,1361.096713,0.068649888,"Radar_Images/tiff/s_0571xx/s_05714502_tiff.lbl","Radar_Images/tiff/s_0571xx/s_05714502_tiff.tif","Radar_Images/geom/s_0571xx/s_05714502_geom.tab","decreasing","increasing",3419,"good"
"22312",270.80701,266.92659,49.685596,24.585395,268.8668,37.1354955,97.39932196,-32768,"Radar_Images/tiff/s_0572xx/s_05721503_tiff.lbl","Radar_Images/tiff/s_0572xx/s_05721503_tiff.tif","Radar_Images/geom/s_0572xx/s_05721503_geom.tab","decreasing","decreasing",3237,"good"
"14595",213.59447,198.42553,-74.49374,-0.235641,206.01,-37.3646905,1126.416648,-32768,"Radar_Images/tiff/s_0374xx/s_03741801_tiff.lbl","Radar_Images/tiff/s_0374xx/s_03741801_tiff.tif","Radar_Images/geom/s_0374xx/s_03741801_geom.tab","decreasing","increasing",9580,"good"
"573",336.81097,169.61456,69.886757,72.982606,253.212765,71.4346815,517.6148387,0.107231267,"Radar_Images/tiff/s_0030xx/s_00307602_tiff.lbl","Radar_Images/tiff/s_0030xx/s_00307602_tiff.tif","Radar_Images/geom/s_0030xx/s_00307602_geom.tab","decreasing","increasing",4723,"good"
"14109",64.492296,263.81591,-71.94289,-78.00864,344.154103,-74.975765,974.6227884,0.048677299,"Radar_Images/tiff/s_0367xx/s_03675701_tiff.lbl","Radar_Images/tiff/s_0367xx/s_03675701_tiff.tif","Radar_Images/geom/s_0367xx/s_03675701_geom.tab","decreasing","decreasing",3794,"good"
"16549",10.254717,212.06497,74.8741,79.923693,291.1598435,77.3988965,798.7938391,0.101584196,"Radar_Images/tiff/s_0423xx/s_04239601_tiff.lbl","Radar_Images/tiff/s_0423xx/s_04239601_tiff.tif","Radar_Images/geom/s_0423xx/s_04239601_geom.tab","decreasing","increasing",3170,"good"
